Date,Open,High,Low,Close,Volume
7/1/2019,26805.85938,26890.64063,26616.21094,26717.42969,267670000
7/2/2019,26719.5293,26787.56055,26632.65039,26786.67969,219270000
7/3/2019,26832.32031,26966,26831.43945,26966,149840000
7/5/2019,26867.75,26950.81055,26733.33008,26922.11914,192170000
7/8/2019,26835.64063,26839.14063,26744.86914,26806.14063,214290000
7/9/2019,26725.11914,26807.69922,26665.57031,26783.49023,218330000
7/10/2019,26851.96094,26983.44922,26813.10938,26860.19922,207990000
7/11/2019,26950.16016,27088.44922,26916.32031,27088.08008,252300000
7/12/2019,27139.49023,27333.78906,27135.44922,27332.0293,248390000
7/15/2019,27364.68945,27364.68945,27294.16992,27359.16016,199730000
7/16/2019,27349.32031,27398.67969,27290.24023,27335.63086,226000000
7/17/2019,27320.91016,27343.06055,27218.38086,27219.84961,193930000
7/18/2019,27191.98047,27266.81055,27068.78906,27222.9707,216070000
7/19/2019,27246.38086,27342.96094,27145.7793,27154.19922,287690000
7/22/2019,27174.17969,27227.76953,27088.90039,27171.90039,216310000
7/23/2019,27231.85938,27368.81055,27204.58008,27349.18945,248850000
7/24/2019,27262.24023,27291.03906,27191.11914,27269.9707,244320000
7/25/2019,27247.39063,27298.42969,27062.48047,27140.98047,241420000
7/26/2019,27166,27213.69922,27123.25,27192.44922,233650000
7/29/2019,27192.24023,27275.84961,27178.06055,27221.34961,250850000
7/30/2019,27145.39063,27224.35938,27069.85938,27198.01953,293250000
7/31/2019,27244.66992,27281.65039,26719.59961,26864.26953,385150000
8/1/2019,26879.85938,27175.58984,26548.71094,26583.41992,386320000
8/2/2019,26528.66016,26570.01953,26249.2207,26485.00977,327640000
8/5/2019,26259.23047,26259.23047,25523.38086,25717.74023,422240000
8/6/2019,25810.61914,26038.67969,25710.86914,26029.51953,318160000
8/7/2019,25814.2207,26073.21094,25440.39063,26007.07031,344790000
8/8/2019,26086.51953,26383.60938,26038.09961,26378.18945,282530000
8/9/2019,26337.08984,26413.35938,26097.64063,26287.43945,240260000
8/12/2019,26169.91016,26178.94922,25824.93945,25896.43945,199390000
8/13/2019,25888.88086,26426.9707,25833.25,26279.91016,308900000
8/14/2019,26035.08008,26035.08008,25471.58984,25479.41992,352250000
8/15/2019,25514.25,25639.68945,25339.59961,25579.39063,332600000
8/16/2019,25678.16992,25929.65039,25678.16992,25886.00977,276210000
8/19/2019,26020.06055,26222.32031,26020.06055,26135.78906,252640000
8/20/2019,26086.85938,26160.11914,25952,25962.43945,238100000
8/21/2019,26145.35938,26268.32031,26141.76953,26202.73047,208790000
8/22/2019,26271.64063,26388.7793,26099.00977,26252.24023,222810000
8/23/2019,26134.21094,26320.28906,25507.17969,25628.90039,364260000
8/26/2019,25826.05078,25941.25,25716.39063,25898.83008,222780000
