Date,Open,High,Low,Close,Volume
7/1/2019,32.1141,34.05,31.3682,33.2777,1835906.62
7/2/2019,33.2722,34,30.56,31.9777,2017364.12
7/3/2019,31.953,33.05,31.623,32.522,1929917.65
7/4/2019,32.5219,34.3839,32.1503,33.0888,2194259.8
7/5/2019,33.0399,33.6497,32.4,32.5566,1501826.74
7/6/2019,32.5507,33.1815,32.5,32.5888,1122287.44
7/7/2019,32.5471,33.3997,32.4,32.9344,1219900.05
7/8/2019,32.9326,34.2918,32.75,33.3888,1493676.78
7/9/2019,33.3888,33.9,32.2195,32.4811,1226644.52
7/10/2019,32.4814,32.89,30.51,31.222,1583726.64
7/11/2019,31.222,31.89,28.2666,29.4181,1746010.06
7/12/2019,29.4213,32.6219,29,31.8888,2944729.48
7/13/2019,31.8727,32.4894,30.2075,31.4888,1744138.78
7/14/2019,31.4701,31.5259,28.3111,28.5447,2117967.02
7/15/2019,28.5447,28.7498,26.319,28.647,2958931.55
7/16/2019,28.647,29.58,24.8626,25.0601,3723845.18
7/17/2019,25.0552,28.2898,24.1709,27.6287,5620644.87
7/18/2019,27.6259,29.5,26.8,28.9555,6272574.38
7/19/2019,28.9505,29.96,28.3158,29.0096,3934648.14
7/20/2019,29.0015,31.46,28.9,31.0932,2871032.06
7/21/2019,31.1222,31.5281,29.2801,30.4388,2167635.68
7/22/2019,30.4389,32.6,29.6203,30.885,3469751.44
7/23/2019,30.9226,30.94,28.9471,29.4929,2639256.42
7/24/2019,29.4381,29.5057,27.7426,28.8261,2337675.12
7/25/2019,28.8275,29.6596,28.4444,28.9227,2187610.96
7/26/2019,28.9227,29.05,28.1641,28.9,1929538.17
7/27/2019,28.9,29.4502,27.2061,27.7498,1490587.94
7/28/2019,27.7384,27.8459,26.42,27.7555,1330561.28
7/29/2019,27.7556,28.0419,26.8202,26.9525,1145223.44
7/30/2019,26.9539,27.1198,26.202,26.9867,1143523.29
7/31/2019,26.9879,27.83,26.78,27.75,1934429.49
8/1/2019,27.7348,28.7664,27.45,28.7088,2252484.64
8/2/2019,28.71,28.7186,27.5643,28.14,1503260.49
8/3/2019,28.14,28.3409,27.5,27.7333,1209344.97
8/4/2019,27.7333,27.7719,27.0852,27.3834,968862.84
