Date,Open,High,Low,Close,Volume
7/1/2019,10854.1,11282.28,10030,10624.93,90962.26827
7/2/2019,10624.9,10938.75,9727,10842.85,109561.0387
7/3/2019,10844.98,11991.89,10841.04,11940,96815.90029
7/4/2019,11940,12000,11055,11145.67,66512.22189
7/5/2019,11145.67,11406.83,10796.44,10970.73,63534.35058
7/6/2019,10982.41,11665,10964.51,11256.49,51469.49633
7/7/2019,11256.45,11538,11094.37,11406.24,38884.7956
7/8/2019,11410,12338.03,11220,12238.6,52182.36722
7/9/2019,12238.6,12794.73,12068,12543.41,78442.13034
7/10/2019,12548.51,13147.08,11569,12108.37,109246.045
7/11/2019,12108.11,12111.73,11000,11342.89,87506.46106
7/12/2019,11342.88,11885,11073,11757.22,56321.85828
7/13/2019,11757.22,11799.98,10830,11355.76,54245.59455
7/14/2019,11355.78,11452,10103,10174.18,72517.57924
7/15/2019,10174.18,11100,9860,10838.72,81922.42633
7/16/2019,10833.78,11028,9350.01,9439.59,97219.44341
7/17/2019,9430.17,9957,9060,9667.92,84942.67272
7/18/2019,9668.86,10788,9252,10627.16,80283.31025
7/19/2019,10628.64,10769.71,10121.84,10504.29,56546.93213
7/20/2019,10505.78,11068.99,10350,10740.23,47331.89985
7/21/2019,10740.27,10817.9,10288,10589.45,38834.28794
7/22/2019,10590.15,10683.16,10100,10340.31,40467.95484
7/23/2019,10343.08,10343.97,9822,9864.91,47624.37071
7/24/2019,9864.78,9937,9525,9763.28,43475.38038
7/25/2019,9763.4,10175,9720.03,9879.87,37873.35473
7/26/2019,9882.15,9889.98,9637,9824,27167.46322
7/27/2019,9824,10188.66,9333,9476.52,43809.7783
7/28/2019,9478.92,9594.99,9165,9541.54,29401.02294
7/29/2019,9541.54,9729,9395,9507.64,29021.93741
7/30/2019,9509.07,9714.28,9402,9574.21,32536.36883
7/31/2019,9575,10109.8,9555,10080.53,39515.35456
8/1/2019,10080.53,10467.86,9863.46,10374.99,41727.63703
8/2/2019,10375,10670,10281.35,10523.75,42990.44422
8/3/2019,10523.75,10904.77,10497.93,10816.86,33802.31882
8/4/2019,10816.86,11040,10552,10929.23,39924.74514
8/5/2019,10929.99,11937.52,10927.8,11828.8,65153.67371
8/6/2019,11830,12330.7,11226.7,11481.69,76705.38988
8/7/2019,11481.69,12141.17,11382.84,11975.03,69173.39035
8/8/2019,11975.04,12060,11521,11999.77,51207.25717
8/9/2019,11994.17,12045.68,11700,11879.99,39427.15259
8/10/2019,11879.98,11985,11270,11309.31,42633.08705
8/11/2019,11309.24,11600,11112.11,11549.97,26772.90691
8/12/2019,11539.08,11577.89,11235.32,11396.08,17568.22708
8/13/2019,11398.35,11456.16,10788.45,10892.71,33234.72968
8/14/2019,10893.36,10897.48,9928.1,10050.37,54451.8475
8/15/2019,10055.16,10460,9911,10293.93,38174.45112
8/16/2019,10296.77,10536.03,9750,10331.54,51758.14292
8/17/2019,10331.15,10465.14,10000,10216.02,29000.5812
8/18/2019,10216.05,10500,10080,10306.78,24085.39517
8/19/2019,10306.17,10930,10258.6,10915.54,37243.31922
8/20/2019,10914.73,10949.96,10560,10760.51,32298.92168
8/21/2019,10760.51,10804.13,9858,10142.57,47355.71928
8/22/2019,10140.82,10242,9762,10099.88,34059.64274
8/23/2019,10099.9,10445,10019.79,10389.55,27550.33617
8/24/2019,10388.16,10419.42,9890,10134.35,27692.45684
8/25/2019,10134.61,10333,9906.97,10142.69,26271.6574
8/26/2019,10142.69,10604,10137.93,10372.25,41687.5116
8/27/2019,10373.6,10391.08,10051.08,10185.05,28402.77538
8/28/2019,10185.69,10299,9601.01,9721,42110.55538
8/29/2019,9721,9724,9320,9498.44,35532.69491
8/30/2019,9499.01,9696,9350.41,9584.54,26834.3181
8/31/2019,9582.76,9684.51,9420.75,9587.47,17130.29007
9/1/2019,9588.74,9830,9520,9724.98,19545.40484
9/2/2019,9723.59,10450,9712.5,10340,44740.24809
9/3/2019,10340,10773,10272,10615.28,47998.37678
9/4/2019,10611.85,10799,10369.89,10567.02,43943.88903
9/5/2019,10565.92,10900,10450,10564.49,33970.96064
9/6/2019,10563.13,10905.87,10150,10298.73,58799.64096
9/7/2019,10298.71,10558,10288.57,10455.88,27637.87739
9/8/2019,10455.9,10592.5,10208,10381.18,23984.67202
9/9/2019,10381.24,10480,10068.5,10303.12,39835.72761
9/10/2019,10302.58,10384.99,9953,10098.15,28915.41223
9/11/2019,10098.19,10293,9880,10158.33,31953.82456
9/12/2019,10158.75,10448.81,10040,10415.01,34511.16276
9/13/2019,10415.01,10439,10153,10342.06,30280.33978
9/14/2019,10344.13,10419.99,10222.33,10335.02,23621.53352
9/15/2019,10332.81,10360,10252.15,10302.01,18047.65401
9/16/2019,10303.34,10355,10078,10251.31,28971.40166
9/17/2019,10249.68,10275,10128.01,10187.82,22914.32456
9/18/2019,10187.48,10258.02,10100,10156.99,24250.2493
9/19/2019,10156.41,10325,9653,10244.29,44826.28258
9/20/2019,10243.7,10281,10061.39,10168.59,25088.49107
9/21/2019,10167.92,10176.7,9900,9986.39,20544.1752
9/22/2019,9985.15,10089,9853.97,10028.87,22049.27526
9/23/2019,10028.05,10049.99,9615.77,9702.25,31937.23236
9/24/2019,9702.2,9794.99,7800,8493.14,94007.3452
9/25/2019,8497.55,8730,8215.64,8430.05,60783.89226
9/26/2019,8430.05,8465.99,7750,8063.73,67930.85375
9/27/2019,8063.49,8265,7852.15,8177.91,43882.92463
9/28/2019,8177.47,8315,8001.09,8198.81,34473.60517
9/29/2019,8199.38,8229.13,7890,8043.82,31544.21139
9/30/2019,8043.04,8337.26,7710,8289.34,55865.48726
10/1/2019,8289.97,8500,8173.05,8292.44,43472.41809
10/2/2019,8292.67,8373.91,8151.22,8359.94,26243.38664
10/3/2019,8360,8393,8060,8223.96,30488.28406
10/4/2019,8224.43,8232.41,8005,8137.13,26476.3304
10/5/2019,8137.09,8183.41,8012.98,8126.19,21907.61556
10/6/2019,8127.55,8153.87,7785,7854.25,34676.10405
10/7/2019,7855.3,8299.92,7762,8190.09,52202.0723
10/8/2019,8190.82,8325,8088.75,8168.39,35452.65742
10/9/2019,8170.79,8670,8115,8560.74,55038.70438
10/10/2019,8562.15,8644,8414.52,8558.03,39137.94617
10/11/2019,8557.82,8779.51,8212.38,8258.5,50405.28442
10/12/2019,8257.95,8400,8250,8300.09,21339.3341
10/13/2019,8301.98,8451.37,8160,8275.01,27840.73995
10/14/2019,8275.24,8388.85,8203,8348.2,29810.66325
10/15/2019,8346.86,8403,8090,8159.29,32773.06248
10/16/2019,8159.3,8181.16,7917,7991.74,34733.59397
10/17/2019,7995.02,8124.92,7929.03,8070.58,29656.94916
10/18/2019,8070.71,8115,7816.01,7947.01,31353.18142
10/19/2019,7946.89,8098.1,7866.92,7948.01,26627.88939
10/20/2019,7949.87,8297,7870,8223.35,34286.45265
10/21/2019,8223.35,8333,8142.03,8197.27,30448.67954
10/22/2019,8197.28,8297.99,8000,8020,34651.82866
10/23/2019,8020.06,8047.59,7300,7466.62,63897.4571
10/24/2019,7468.47,7503.68,7337.99,7412.41,32714.38327
10/25/2019,7412.41,8799,7361,8655.02,90748.21817
10/26/2019,8655.88,10370,8470.38,9230,162588.5854
10/27/2019,9230,9794.98,9074.34,9529.93,93833.5416
10/28/2019,9528.23,9902.1,9160,9205.14,80174.21732
10/29/2019,9204.45,9550,9072,9407.62,64158.46245
10/30/2019,9407.62,9409.84,9001.01,9154.72,55241.78643
10/31/2019,9154.02,9405,8913,9140.85,54376.0249
11/1/2019,9140.86,9279,9030,9231.61,43594.81412
11/2/2019,9231.4,9373.74,9186.21,9289.52,28923.06083
11/3/2019,9289.85,9362.57,9066.14,9194.71,27894.37828
11/4/2019,9196.46,9513.68,9115.84,9393.35,45894.45628
11/5/2019,9392.4,9454.95,9175.76,9308.66,45935.87367
11/6/2019,9307.73,9440.91,9250.01,9339.05,37336.17037
11/7/2019,9339.16,9375,9101,9216.2,39117.47085
11/8/2019,9214,9261,8696,8773.73,62107.28924
11/9/2019,8773.74,8880,8724.88,8809.41,29469.48141
11/10/2019,8809.18,9147.19,8750,9039.47,34422.0298
11/11/2019,9040.16,9072.32,8618.68,8733.27,44888.05355
11/12/2019,8733.36,8888,8567.6,8821.94,40366.62947
11/13/2019,8821.91,8844.99,8702,8777.12,26810.11692
