Date,Open,High,Low,Close,Volume
7/1/2019,5.7949,6.0764,5.5504,6.0488,10552912.83
7/2/2019,6.0515,6.15,5.5813,5.8957,10062396.68
7/3/2019,5.8975,6.0972,5.8,6.0405,7260751.63
7/4/2019,6.0422,6.0581,5.655,5.7166,5600735.95
7/5/2019,5.7164,5.89,5.6766,5.7431,4258687.64
7/6/2019,5.7417,5.9713,5.699,5.7692,4080213.29
7/7/2019,5.7691,6.0231,5.745,5.9278,2781359.82
7/8/2019,5.9278,5.985,5.8173,5.9385,3686162.35
7/9/2019,5.9392,6.0254,5.8272,5.8859,4985903.78
7/10/2019,5.8862,5.9184,5.0317,5.2682,13969485.37
7/11/2019,5.2676,5.2698,4.3835,4.6868,17980551.11
7/12/2019,4.6862,4.8701,4.5883,4.7867,8803293.65
7/13/2019,4.7887,4.83,4.5585,4.7492,6192644.18
7/14/2019,4.75,4.7712,4.0469,4.1,9790162.57
7/15/2019,4.1003,4.4304,3.9643,4.2931,10938591.71
7/16/2019,4.2893,4.36,3.3402,3.6601,17659083.76
7/17/2019,3.6667,4.1189,3.5155,3.827,13930817.91
7/18/2019,3.8312,4.2323,3.7412,4.1013,9895495.37
7/19/2019,4.0993,4.15,3.78,4.0366,5244507.99
7/20/2019,4.0399,4.4752,3.9951,4.2983,6169265.44
7/21/2019,4.3007,4.3504,4.15,4.3288,4392552.39
7/22/2019,4.3291,4.4156,3.9467,4.1257,4684268.8
7/23/2019,4.1242,4.2775,3.9505,4.1526,5129859.62
7/24/2019,4.15,4.6469,3.9912,4.5874,9920069.86
7/25/2019,4.5827,4.7081,4.4313,4.5663,6397651.96
7/26/2019,4.5664,4.7055,4.4133,4.6156,4483882.36
7/27/2019,4.6101,4.7572,4.166,4.2748,7565969.92
7/28/2019,4.2752,4.3493,3.8877,4.2807,4693129.83
7/29/2019,4.2773,4.3963,4.1,4.2103,4833909.63
7/30/2019,4.2108,4.3,4.1225,4.1959,3029179.81
7/31/2019,4.1959,4.4407,4.1862,4.417,2632887.92
8/1/2019,4.4196,4.4472,4.1937,4.2991,3026872.22
8/2/2019,4.2993,4.3456,4.0347,4.1801,3965253.06
8/3/2019,4.1818,4.3715,4.1682,4.2923,2687301.01
8/4/2019,4.2922,4.3109,4.1634,4.214,1959217.45
8/5/2019,4.2161,4.5771,4.2142,4.4604,4535570.48
8/6/2019,4.4611,4.5,4.051,4.1903,5237365.75
8/7/2019,4.1904,4.3,4.132,4.2224,3164784.11
8/8/2019,4.2235,4.2351,4.0801,4.17,2304702.96
8/9/2019,4.1689,4.1789,3.7858,3.9053,4202931.27
8/10/2019,3.9072,4.14,3.8599,4.0644,4280759.33
8/11/2019,4.0635,4.2617,4.0605,4.2028,3259239.13
8/12/2019,4.2025,4.2093,4.0655,4.13,1457267.02
8/13/2019,4.13,4.1421,3.96,4.0819,4007334.88
8/14/2019,4.0843,4.1308,3.5714,3.6716,6904682.73
8/15/2019,3.6718,3.7296,3.5035,3.6226,3495641.99
8/16/2019,3.6212,3.6687,3.4673,3.58,3817287.3
8/17/2019,3.5801,3.6125,3.485,3.5627,1547028.72
8/18/2019,3.563,3.7641,3.5103,3.6925,2263105.26
8/19/2019,3.6901,3.8152,3.6342,3.7179,2509738.32
8/20/2019,3.7198,3.7247,3.59,3.675,1546465.45
8/21/2019,3.6755,3.6832,3.3474,3.512,3645880.14
8/22/2019,3.5122,3.7115,3.4513,3.6349,3370938.04
8/23/2019,3.6356,3.7884,3.5976,3.6706,2905491.64
8/24/2019,3.6706,3.6831,3.5398,3.6617,1921306.47
8/25/2019,3.6607,3.7,3.4638,3.551,2557268.54
8/26/2019,3.5507,3.6936,3.5393,3.5842,2532450.37
8/27/2019,3.5847,3.5947,3.4858,3.5487,1219325.77
8/28/2019,3.5503,3.5609,3.1163,3.254,5842844.14
8/29/2019,3.2544,3.268,3.05,3.1994,3636560.57
8/30/2019,3.1996,3.29,3.1597,3.215,2313507.82
8/31/2019,3.2138,3.4099,3.186,3.3195,2188912.43
9/1/2019,3.3195,3.3399,3.0882,3.2562,2856141.8
9/2/2019,3.2572,3.3798,3.2101,3.319,2981312.68
9/3/2019,3.3188,3.4626,3.2864,3.3498,4785784.48
9/4/2019,3.3511,3.3626,3.265,3.3041,2687490.42
9/5/2019,3.3034,3.3297,3.1935,3.2664,2629192.77
