Date,Open,High,Low,Close,Volume
7/1/2019,7.7772,8.0248,7.301,7.7914,742692.38
7/2/2019,7.7914,7.9,7.3159,7.7045,657817.27
7/3/2019,7.71,7.915,7.6292,7.8494,437237.65
7/4/2019,7.8596,8.1505,7.682,7.7515,473987.86
7/5/2019,7.7393,7.9278,7.6229,7.8456,374875.71
7/6/2019,7.8487,7.99,7.7345,7.8398,265471.07
7/7/2019,7.8339,7.9659,7.7606,7.956,166544.96
7/8/2019,7.9604,8.012,7.8486,7.9985,229441.9
7/9/2019,7.9985,8.1149,7.6342,7.8812,276436.48
7/10/2019,7.8828,7.9341,6.948,7.2765,540393.34
7/11/2019,7.2759,7.276,6.1519,6.6257,688749.43
7/12/2019,6.6259,6.84,6.5015,6.7671,302374.36
7/13/2019,6.7691,6.7727,6.3915,6.606,400799.79
7/14/2019,6.6072,6.6324,5.5315,5.642,889266.64
7/15/2019,5.6314,5.8601,5.1015,5.7593,1285469.64
7/16/2019,5.7651,6.0877,5.1128,5.3295,1207017.32
7/17/2019,5.3378,5.9521,5.2191,5.6974,942345.47
7/18/2019,5.6976,6.0951,5.3982,6.0243,752750.59
7/19/2019,6.0246,6.031,5.6386,5.8456,484597.37
7/20/2019,5.8567,6.3279,5.8299,6.1579,518656.94
7/21/2019,6.1527,6.2901,6.03,6.2549,277273.04
7/22/2019,6.2537,6.5,6.214,6.3705,566520.79
7/23/2019,6.3677,6.3701,5.9419,6.0293,466819.85
7/24/2019,6.0334,6.2465,5.7628,6.1022,444455.99
7/25/2019,6.0925,6.2679,5.9641,6.0069,367646.4
7/26/2019,6.0052,6.2463,5.8863,6.2,226065.65
7/27/2019,6.1963,6.3218,5.7763,5.9484,494365.72
7/28/2019,5.9409,6.0168,5.5715,5.9072,380787.86
7/29/2019,5.9095,6.1014,5.834,5.9339,344444.74
7/30/2019,5.9301,5.9938,5.8116,5.9289,199287.64
7/31/2019,5.9282,6.0892,5.7855,6.0494,298000.95
8/1/2019,6.0533,6.0729,5.8142,5.9614,319072.97
8/2/2019,5.9579,6.0025,5.7852,5.8796,232019.57
8/3/2019,5.8801,5.9519,5.819,5.8851,184641.47
8/4/2019,5.8814,6.15,5.8236,6.0954,281034.21
8/5/2019,6.0947,6.3897,6.0947,6.1787,413028.66
8/6/2019,6.1815,6.256,5.7964,5.8644,359774.86
8/7/2019,5.8644,6.0144,5.8256,5.9058,242497.57
8/8/2019,5.9043,6.1871,5.878,6.0026,317495.3
8/9/2019,6.0126,6.0266,5.7418,5.8101,214862.6
8/10/2019,5.8191,5.8968,5.5441,5.6582,330583.83
8/11/2019,5.652,5.88,5.652,5.8311,228875.2
8/12/2019,5.8312,5.8937,5.7101,5.7907,136628.39
8/13/2019,5.7907,5.9582,5.74,5.9204,228714.89
8/14/2019,5.9175,6.1779,5.4743,5.5958,633038.93
8/15/2019,5.6051,5.7823,5.5082,5.6492,266091.76
8/16/2019,5.6468,5.6468,5.4376,5.5317,299612.83
8/17/2019,5.5277,5.5392,5.3942,5.4552,154653.28
8/18/2019,5.4624,5.6557,5.4218,5.5729,190290.97
8/19/2019,5.572,5.6626,5.4239,5.5436,304767.32
8/20/2019,5.5465,6.1807,5.4694,6.0315,1121753.69
8/21/2019,6.0305,6.3843,5.851,6.1547,1343024.95
8/22/2019,6.1523,7.6742,5.9862,7.2149,3066791.47
8/23/2019,7.2173,7.5522,6.85,7.1433,2513608.16
8/24/2019,7.1434,7.2162,6.7518,6.853,1115523.33
8/25/2019,6.8536,7.4125,6.8296,7.13,1256629.35
8/26/2019,7.1358,7.59,7.1136,7.3415,1210750.3
8/27/2019,7.3381,7.3466,7.0894,7.204,518033.1
8/28/2019,7.2075,7.2498,6.2231,6.4597,1800202.15
8/29/2019,6.4628,6.4677,5.68,5.9395,1839808.66
8/30/2019,5.9395,6.4739,5.7286,6.3003,1450053.22
8/31/2019,6.3004,6.4366,6.1409,6.2604,677097.53
9/1/2019,6.2583,6.3314,6.06,6.2372,450668.93
9/2/2019,6.2396,6.8749,6.1826,6.684,1261619.01
9/3/2019,6.6841,7.0248,6.6037,6.7977,970199.47
9/4/2019,6.7983,6.8551,6.6619,6.762,563845.81
9/5/2019,6.761,7.2061,6.6978,7.0396,1351255.39
9/6/2019,7.0368,7.0763,6.65,6.6563,1091293.53
9/7/2019,6.6563,6.8039,6.3,6.6361,1581338.09
9/8/2019,6.6334,6.7802,6.55,6.648,700039.02
9/9/2019,6.648,6.785,6.363,6.5924,1158956.51
9/10/2019,6.5879,6.7529,6.3818,6.5302,1392737.02
9/11/2019,6.5313,6.5957,6.1091,6.3291,1214879.85
9/12/2019,6.3282,6.3849,6.1942,6.1985,1048596.57
9/13/2019,6.1984,6.2432,6.1,6.1596,634750.89
9/14/2019,6.1659,6.294,6.1014,6.241,357701.26
9/15/2019,6.2442,6.337,6.2094,6.2496,407029.45
9/16/2019,6.2526,6.3303,6.1259,6.2175,583069.06
9/17/2019,6.2166,6.474,6.1529,6.2816,772165.58
9/18/2019,6.2843,6.5211,6.2765,6.3742,1082951.74
9/19/2019,6.3706,6.3833,5.7515,6.2103,1996207.94
9/20/2019,6.2078,6.2777,5.9473,6.1695,1008144.29
9/21/2019,6.1692,6.198,6.0325,6.1217,452073.73
9/22/2019,6.1246,6.1276,5.93,5.9926,743085.19
9/23/2019,5.9887,6.0856,5.806,5.8206,892583.93
9/24/2019,5.8194,5.8738,4.1,4.6197,3973281
9/25/2019,4.6182,4.9391,4.4958,4.8148,3536125.36
9/26/2019,4.8191,4.8548,4.4668,4.6891,1591301.98
9/27/2019,4.6877,4.7331,4.4756,4.6623,950593.92
9/28/2019,4.6632,4.7573,4.6074,4.6691,762483.68
9/29/2019,4.6701,4.6865,4.429,4.5424,697464.66
9/30/2019,4.5459,4.7595,4.4072,4.7096,1253128.96
10/1/2019,4.7093,4.85,4.5577,4.6106,1233763.59
10/2/2019,4.6102,4.6917,4.5459,4.6781,413638.39
10/3/2019,4.6805,4.6918,4.5091,4.5989,587207.51
10/4/2019,4.5991,4.6635,4.4823,4.578,560504.45
10/5/2019,4.577,4.6649,4.5348,4.6157,742663.58
10/6/2019,4.6135,4.6281,4.3801,4.4874,465444
10/7/2019,4.4857,4.7274,4.4562,4.6622,769774.16
10/8/2019,4.6642,4.73,4.5706,4.6171,329777.99
10/9/2019,4.62,5.2233,4.5911,5.0611,1392029.34
10/10/2019,5.0646,5.0991,4.8075,4.8269,1359714.04
10/11/2019,4.8287,4.9443,4.6271,4.6383,1079609.63
10/12/2019,4.6417,4.7438,4.6365,4.7046,439647.04
10/13/2019,4.7046,4.8068,4.6817,4.7404,424411.66
10/14/2019,4.7404,4.8563,4.7211,4.7892,339846.39
10/15/2019,4.7886,4.8031,4.45,4.5352,1187116.67
10/16/2019,4.5337,4.6942,4.1457,4.4162,1756777.82
10/17/2019,4.4162,4.5764,4.3704,4.4999,901768.44
10/18/2019,4.5016,4.5211,4.3302,4.4109,607506.18
10/19/2019,4.4109,4.4653,4.3696,4.4174,485614.46
10/20/2019,4.4177,4.5417,4.3633,4.5013,272427
10/21/2019,4.5014,4.6838,4.428,4.5775,1188982.66
10/22/2019,4.5804,4.6484,4.4101,4.4532,621868.91
10/23/2019,4.4543,4.4816,4.0227,4.2546,1367375.68
10/24/2019,4.2571,4.3582,4.1808,4.2582,618082.37
10/25/2019,4.2595,5,4.2226,4.7416,2284322.01
10/26/2019,4.7448,5.1152,4.4691,4.5738,3099367.38
10/27/2019,4.5723,4.9285,4.5363,4.7735,1746823.1
10/28/2019,4.7794,5.0065,4.7301,4.7364,1256771.74
10/29/2019,4.7366,5.1518,4.7313,4.9239,2016169.04
10/30/2019,4.9268,4.9717,4.7121,4.7871,1156788.12
10/31/2019,4.7877,4.9748,4.6655,4.8074,1472205.22
11/1/2019,4.8033,4.9435,4.7841,4.8656,898241.44
11/2/2019,4.8677,5.0475,4.8289,4.9241,665779.25
11/3/2019,4.9241,4.998,4.8241,4.8765,421528.37
11/4/2019,4.8748,5.0399,4.8424,4.9625,588257.89
11/5/2019,4.9654,5.0676,4.8424,5.0179,796021.6
11/6/2019,5.0209,5.1999,4.987,5.0745,1014296.19
11/7/2019,5.0745,5.3794,5.0422,5.2412,2157947.67
11/8/2019,5.2448,5.2839,4.7788,4.9754,1768262.89
11/9/2019,4.9711,5.0555,4.918,4.9554,568270.08
11/10/2019,4.956,5.2,4.9113,5.0365,966046.8
11/11/2019,5.0414,5.0679,4.8223,4.8916,715712.35
11/12/2019,4.8929,4.9403,4.8,4.9067,523478.18
11/13/2019,4.9102,4.9242,4.8316,4.849,337751.41
11/14/2019,4.8495,4.8598,4.6829,4.7515,523507.23
11/15/2019,4.7504,4.8146,4.451,4.5652,806352.38
11/16/2019,4.5651,4.6499,4.535,4.6297,264375.81
11/17/2019,4.6319,4.6898,4.5798,4.6139,421145.4
11/18/2019,4.6146,4.6286,4.1927,4.3674,1493065.05
11/19/2019,4.3646,4.5387,4.25,4.3865,1472511.6
11/20/2019,4.3865,4.4396,4.2976,4.3374,539470.13
11/21/2019,4.3368,4.4159,4.0519,4.1785,1001269.36
11/22/2019,4.178,4.225,3.5352,3.8672,2593112.7
11/23/2019,3.8665,4.0762,3.7941,3.9887,1017895.15
11/24/2019,3.9858,4.0009,3.6634,3.7023,1115150.67
11/25/2019,3.7038,3.9804,3.534,3.7691,1805572.57
11/26/2019,3.7677,3.9222,3.75,3.8706,705815.52
11/27/2019,3.8701,4.0877,3.6752,3.945,1224486.64
11/28/2019,3.9499,4.0203,3.8558,3.9389,806968.47
11/29/2019,3.9369,4.1323,3.9218,4.0776,729760.25
11/30/2019,4.0748,4.1034,3.858,3.9409,589869.9
12/1/2019,3.937,4.0206,3.808,3.9288,814970.52
12/2/2019,3.927,3.9488,3.7752,3.8545,602427.87
12/3/2019,3.8524,3.9428,3.8203,3.8285,514008.63
12/4/2019,3.8306,3.896,3.6949,3.7499,1360353.64
12/5/2019,3.7475,3.8155,3.7245,3.7879,646446.85
12/6/2019,3.7878,3.9144,3.7627,3.887,624256.4
12/7/2019,3.887,3.9457,3.8482,3.8603,371629.61
12/8/2019,3.862,3.9524,3.823,3.8977,408082.56
12/9/2019,3.8973,3.9227,3.7626,3.7975,545001.86
12/10/2019,3.7972,3.7999,3.7274,3.7749,440933.45
12/11/2019,3.7759,3.8047,3.7542,3.7748,294571.86
12/12/2019,3.7749,3.8499,3.7151,3.8157,632099.6
12/13/2019,3.8165,3.889,3.7971,3.8562,368981.4
12/14/2019,3.862,3.8703,3.7428,3.7984,470856.34
12/15/2019,3.7986,3.8586,3.7529,3.8056,405188.78
12/16/2019,3.8057,3.8453,3.62,3.6796,1100621.23
12/17/2019,3.6781,3.7048,3.4107,3.469,1412319.21
12/18/2019,3.4702,3.8298,3.3607,3.7645,2607893.64
12/19/2019,3.7754,3.7969,3.6561,3.7268,588312.17
12/20/2019,3.7268,4.2314,3.6793,4.0541,1137525.1
12/21/2019,4.0493,4.1797,3.993,4.086,1392435.63
12/22/2019,4.0853,4.2575,4.0505,4.1929,1055432.02
12/23/2019,4.1965,4.2365,3.9413,3.9901,1320615.35
12/24/2019,3.9928,4.0075,3.8776,3.9346,1104352.29
12/25/2019,3.933,4.0893,3.8933,4.0403,904092.02
12/26/2019,4.0403,4.7234,4.0342,4.49,3261996.01
12/27/2019,4.4901,4.68,4.35,4.5117,2703751.65
12/28/2019,4.5091,4.5581,4.3717,4.4137,1008662.04
12/29/2019,4.4136,4.8589,4.3891,4.6434,1966063.87
12/30/2019,4.6436,4.8651,4.5275,4.6243,2259306.03
12/31/2019,4.6246,4.775,4.4328,4.4945,2424343.65
1/1/2020,4.4945,4.5742,4.4723,4.5035,526602.35
1/2/2020,4.507,4.5123,4.168,4.2283,1838183.26
1/3/2020,4.2329,4.6299,4.1791,4.5768,2720581.72
1/4/2020,4.5769,4.7842,4.5207,4.7598,1679464.53
1/5/2020,4.7587,5.0052,4.7325,4.8784,2448806.94
1/6/2020,4.8783,5.1559,4.8411,5.0333,2444397.79
1/7/2020,5.0306,5.079,4.712,4.8344,2580872.33
1/8/2020,4.8352,5.0589,4.6938,4.9521,2433430.68
1/9/2020,4.952,5.21,4.8724,5.1848,2404361.04
1/10/2020,5.1866,5.4013,4.9102,5.36,4501794.17
1/11/2020,5.3608,5.8289,5.3167,5.5704,5110726.49
1/12/2020,5.5685,5.6472,5.3599,5.5765,2130708.1
