Date,Open,High,Low,Close,Volume
7/1/2019,292.89,303.49,280.13,295.07,489769.2742
7/2/2019,295.03,297.57,272.65,291.48,493772.9658
7/3/2019,291.47,302.89,285,301.14,370521.9664
7/4/2019,301.11,302.74,280.53,282.73,270791.3688
7/5/2019,282.86,294.89,280.78,287.47,261139.2834
7/6/2019,287.32,296.71,285.28,288.29,196064.6471
7/7/2019,288.29,309.69,284.25,304.72,246111.366
7/8/2019,304.72,313.74,300.78,311.97,289607.3418
7/9/2019,311.96,318.19,302.69,307.46,309447.3493
7/10/2019,307.46,314.18,281.04,289.23,457080.9406
7/11/2019,289.23,289.23,262.12,268.63,501592.7521
7/12/2019,268.67,278.99,266.21,274.62,266734.5421
7/13/2019,274.53,275.04,262.2,268.79,205959.2685
7/14/2019,268.8,269.74,222.81,225.85,540052.5842
7/15/2019,225.83,235.58,203.08,228.2,715991.2069
7/16/2019,228.2,234.5,192.25,198.88,715604.832
7/17/2019,198.94,219.86,191.84,210.81,694854.1013
7/18/2019,210.8,229.65,205.71,225.73,609081.4909
7/19/2019,225.75,226.23,212.52,220.73,371622.2187
7/20/2019,220.84,235.09,219.78,228.2,325393.9723
7/21/2019,228.25,229.66,216.99,225.38,270046.1519
7/22/2019,225.49,228.34,212.25,217.51,271310.4045
7/23/2019,217.59,219.55,208.36,212.48,317876.4824
7/24/2019,212.55,218.28,202,216.31,331162.6484
7/25/2019,216.31,225.12,215.23,219.14,280370.2963
7/26/2019,219.14,220,212.71,218.81,197781.9865
7/27/2019,218.81,223.3,203,207.3,301209.4111
7/28/2019,207.3,213.52,198.24,211.62,218801.1669
7/29/2019,211.58,215.83,206.59,210.89,226941.28
7/30/2019,210.84,214.36,204.4,209.58,222683.7939
7/31/2019,209.57,218.79,209.2,218.42,207213.5566
8/1/2019,218.42,219.39,210.54,216.84,186806.1884
8/2/2019,216.8,222.18,214.31,217.61,206867.0304
8/3/2019,217.69,224.51,216.62,222.14,181591.953
8/4/2019,222.14,223.34,216.9,221.79,135622.0258
8/5/2019,221.79,236.25,221.79,233.54,307956.2721
8/6/2019,233.53,239.15,223.03,226.28,341279.0816
8/7/2019,226.31,231.25,220.95,226.1,279104.7037
8/8/2019,226.11,228.5,215.51,221.39,236886.3542
8/9/2019,221.38,221.79,207.3,210.53,232062.1276
8/10/2019,210.52,215,202.6,206.48,252614.0239
8/11/2019,206.48,216.94,206.14,216.42,188474.0905
8/12/2019,216.41,216.81,209.75,211.41,122760.9462
8/13/2019,211.58,214.3,204,209.3,166922.482
8/14/2019,209.31,209.9,183.49,187.1,325228.9893
8/15/2019,187.08,189.95,181.23,188.03,237953.0943
8/16/2019,187.98,188.39,178.04,184.88,282177.0158
8/17/2019,184.83,187,181.83,185.59,138799.6151
8/18/2019,185.67,197.91,183.35,194.33,175363.5062
8/19/2019,194.32,203.59,192.7,202.28,239541.5978
8/20/2019,202.24,202.75,194.45,196.6,189297.7549
8/21/2019,196.55,197.2,179.53,187.45,284973.6419
8/22/2019,187.45,195.14,182.8,190.35,245575.9877
8/23/2019,190.36,196.19,188.16,194.02,192548.5155
8/24/2019,194.02,194.09,185.63,190.6,167806.3429
8/25/2019,190.6,192.4,182.8,186.54,169862.9152
8/26/2019,186.54,193.7,186,188.67,254397.7947
8/27/2019,188.61,189.49,184.75,187.24,157898.563
8/28/2019,187.3,188.25,166.48,173.03,334480.6176
8/29/2019,173.03,173.5,163.61,169.01,295241.216
8/30/2019,169.03,170.77,165.55,168.5,238616.6887
8/31/2019,168.48,174.98,165.63,171.57,194999.1958
9/1/2019,171.52,173.42,167.61,170.74,191140.5237
9/2/2019,170.73,181,170.02,178.05,294627.3125
9/3/2019,178,183,174.09,178.75,327857.8545
9/4/2019,178.79,180.14,173,174.72,286226.2517
9/5/2019,174.7,176.19,168.1,173.75,232753.836
9/6/2019,173.74,177.87,165,169.08,315822.3798
9/7/2019,169.11,180.8,168.3,177.62,253831.2317
9/8/2019,177.58,184.18,176.13,181.19,290083.475
9/9/2019,181.18,185.38,176.01,180.54,273729.9487
