Date,Open,High,Low,Close,Volume
7/1/2019,123.22,127.03,113.82,123.17,612063.2592
7/2/2019,123.16,124,112.63,118.77,469582.087
7/3/2019,118.74,123.15,116.78,121.36,365008.0675
7/4/2019,121.34,127.03,118.51,119.61,375062.7427
7/5/2019,119.64,120.99,116.22,118.35,223608.7126
7/6/2019,118.29,121.8,117.06,118.31,153816.698
7/7/2019,118.28,120.35,117,119.48,142378.6143
7/8/2019,119.48,125.07,117.77,122.92,219116.9219
7/9/2019,122.92,124.08,117.64,119.24,233440.1204
7/10/2019,119.23,120.13,102.5,108.31,507821.3086
7/11/2019,108.29,108.33,95.21,102.98,566917.4067
7/12/2019,103,107.02,100.65,104.86,204977.5243
7/13/2019,104.86,105.03,97.64,101.03,229252.9613
7/14/2019,101.06,101.9,87.58,89.66,429594.9695
7/15/2019,89.67,92.99,84.6,90.43,382169.248
7/16/2019,90.43,91.91,76.6,79.61,483565.9321
7/17/2019,79.62,94.65,71,89.95,611125.0826
7/18/2019,89.98,104.5,86.87,101.16,609872.1013
7/19/2019,101.15,101.26,94.73,98.23,366646.2398
7/20/2019,98.25,105.88,97.42,100.25,355926.0234
7/21/2019,100.26,101.41,96.4,99.7,247121.4314
7/22/2019,99.74,100.91,91.14,95.31,318533.9601
7/23/2019,95.31,95.35,88.62,90.15,264516.2157
7/24/2019,90.1,97.45,86.8,94.5,355813.0883
7/25/2019,94.43,96.67,91.06,93.22,228403.4838
7/26/2019,93.23,94.52,89.83,94.06,169220.3203
7/27/2019,94.01,96.09,86.67,88.79,250915.2499
7/28/2019,88.83,90.9,83.13,90,201075.7721
7/29/2019,90,92.26,87.48,90.33,233655.4407
7/30/2019,90.33,92.71,88.5,90.15,166817.9333
7/31/2019,90.12,99.95,89.81,98.76,280442.0191
8/1/2019,98.77,100.59,95.23,98.64,256621.8003
8/2/2019,98.62,98.77,92.52,94.76,284902.0267
8/3/2019,94.8,96.7,93.51,94.17,187442.2664
8/4/2019,94.15,94.8,90.11,92.64,210063.3443
8/5/2019,92.68,106.77,92.68,96.56,708024.7331
8/6/2019,96.56,99.32,91,92.99,370218.4967
8/7/2019,93.05,94.45,87.36,90.59,298275.7561
8/8/2019,90.59,92.75,87.72,90.15,227275.8501
8/9/2019,90.08,90.45,82.64,84.24,245919.9803
8/10/2019,84.25,87.5,82.27,85.46,243663.591
8/11/2019,85.46,91.57,85.15,89.93,196951.4023
8/12/2019,89.99,90.04,85.45,85.79,147573.8793
8/13/2019,85.79,86.79,83.26,84.88,166783.8096
8/14/2019,84.83,86.32,75,75.9,310895.4105
8/15/2019,75.91,77.7,74.36,76.25,157703.3211
8/16/2019,76.24,76.42,72.34,74.67,186709.0273
8/17/2019,74.63,75.35,71.5,72.65,131039.8443
8/18/2019,72.64,78,71.4,76.25,171800.8525
8/19/2019,76.31,78.95,75.36,77.1,176507.94
8/20/2019,77.1,77.3,73.31,75.14,130580.7691
8/21/2019,75.13,75.33,70.14,73.27,188740.4871
8/22/2019,73.18,74.64,71,73.31,159575.0856
8/23/2019,73.38,75.92,72.1,75.38,138535.9005
8/24/2019,75.37,75.65,71.39,73.32,119841.8672
8/25/2019,73.32,74.93,70.56,72.1,143368.0788
8/26/2019,72.12,75.46,72.09,73.54,186459.7251
8/27/2019,73.59,73.75,72.13,72.9,92746.01751
8/28/2019,72.88,73.14,65,66.73,295837.6773
