Date,Open,High,Low,Close,Volume
7/1/2019,0.39637,0.42298,0.38804,0.40691,135870243.9
7/2/2019,0.40694,0.41125,0.38386,0.39794,105939905.9
7/3/2019,0.39787,0.40666,0.3934,0.40456,78793554.4
7/4/2019,0.40458,0.4052,0.385,0.38723,71298699.9
7/5/2019,0.38722,0.38825,0.37325,0.37881,71395559.6
7/6/2019,0.3787,0.4099,0.37826,0.39031,94972192.3
7/7/2019,0.39031,0.4007,0.38683,0.39651,65893195.7
7/8/2019,0.39651,0.403,0.39114,0.40073,68579169.6
7/9/2019,0.40072,0.40725,0.38875,0.39362,84918198.9
7/10/2019,0.39361,0.39646,0.34502,0.36154,140899188
7/11/2019,0.36141,0.36285,0.31574,0.32875,168118356.8
7/12/2019,0.32888,0.34988,0.31968,0.34336,126888778
7/13/2019,0.34336,0.34439,0.32359,0.33206,86057978.8
7/14/2019,0.33214,0.33549,0.2992,0.30366,132780312.2
7/15/2019,0.30366,0.32376,0.29474,0.31287,160631099.6
7/16/2019,0.31287,0.32032,0.286,0.29543,162767430.3
7/17/2019,0.29545,0.32365,0.29264,0.31032,159617507.6
7/18/2019,0.31032,0.327,0.30257,0.32035,129902403.6
7/19/2019,0.32035,0.32215,0.30959,0.3188,68682413.2
7/20/2019,0.3187,0.34094,0.31818,0.33279,84000903.4
7/21/2019,0.33269,0.33501,0.32053,0.33075,64040258.2
7/22/2019,0.33059,0.33259,0.3157,0.32111,64393272.5
7/23/2019,0.32135,0.32135,0.30572,0.30891,63905860.1
7/24/2019,0.30877,0.31905,0.30251,0.31548,67739907.8
7/25/2019,0.31547,0.323,0.31117,0.31335,54892791.7
7/26/2019,0.31332,0.32514,0.307,0.32303,55029583.8
7/27/2019,0.32303,0.32621,0.3054,0.30965,64056737.5
7/28/2019,0.30966,0.31478,0.3,0.31218,42792457.7
7/29/2019,0.31217,0.31478,0.306,0.31004,39176999
7/30/2019,0.31004,0.32213,0.30665,0.31823,52340164.1
