Date,Open,High,Low,Close,Adj Close,Volume
7/1/2019,209.6999969,212.3099976,208.1699982,210.2799988,200.5734863,4097700
7/2/2019,210.2400055,210.2599945,208.4600067,210.1399994,200.4399109,3160500
7/3/2019,209.8200073,212.75,209.6999969,212.1000061,202.3094788,2183700
7/5/2019,209.9700012,212.1699982,209.7299957,211.4600067,201.6990356,2547800
7/8/2019,210.9799957,213.4400024,210.5899963,212.9100037,203.0820923,2705300
7/9/2019,211.9299927,213.3300018,211.1999969,212,202.2140961,2397400
7/10/2019,210.7200012,211.3200073,208.8300018,210.75,201.0217743,3457400
7/11/2019,212.25,214.0800018,211.0200043,214.0399933,204.1598816,3450100
7/12/2019,215,218.25,214.6100006,218.2299957,208.1564941,4429800
7/15/2019,218.9499969,219.3000031,216.8099976,218.6999969,208.6047974,3141300
7/16/2019,217.3000031,218.3500061,216.7299957,217.2599945,207.2312775,2657400
7/17/2019,216.7299957,217.5800018,215.6100006,215.6100006,205.6574249,3037300
7/18/2019,215.5,216.2299957,213.0099945,214.4400024,204.5414429,3068000
7/19/2019,214.6699982,215.2299957,212.9299927,213.0399933,203.2060699,3254800
7/22/2019,213,213.2599945,210.3800049,211.2700043,201.5177917,2764900
7/23/2019,212.5700073,214.1300049,211.7299957,213.0800018,203.2442474,2589900
7/24/2019,213.1900024,214.7899933,213.0700073,214.7100067,204.798996,2207100
7/25/2019,214.2799988,215.9199982,213.6300049,215.5500031,205.6002197,2335300
7/26/2019,215.5299988,217.2100067,214.1000061,216.9100037,206.8974457,2675500
7/29/2019,216.7899933,218.2700043,216.3500061,218.0399933,207.9752655,2407200
7/30/2019,217.5200043,218.5899963,216.8600006,217.3600006,207.3266754,2172600
7/31/2019,216.3500061,217.8000031,212.1699982,213.6900024,203.8260498,3426400
8/1/2019,214.1399994,217.6100006,212.0200043,212.8300018,203.0057678,3431500
8/2/2019,211.8600006,213.1399994,211.0800018,212.1499939,202.3571472,2884900
8/5/2019,209.5299988,209.9600067,204.0800018,204.9400024,195.4799652,4553200
8/6/2019,205.0099945,209.0899963,204.5,208.8000031,199.1617737,3646800
8/7/2019,206.0399933,208.5,203.1300049,207.9100037,198.3128815,3901100
8/8/2019,209.6999969,211.6900024,208.7200012,211.5700073,201.8039398,2968000
8/9/2019,211.4499969,212.4100037,207.9499969,210.0200043,200.32547,2912100
8/12/2019,208.1000061,209.6399994,206.1499939,207.0099945,197.454422,2005000
8/13/2019,206.3099976,211.6199951,204.7799988,208.3300018,198.7134857,3876700
8/14/2019,204.4600067,205.3600006,201.5099945,201.5899963,192.2845917,4582100
8/15/2019,203,203.7599945,199.0500031,201.7899933,192.4753723,4199700
8/16/2019,203.75,204.4299927,201.6699982,203.6499939,194.2494965,4093600
8/19/2019,206.9799957,208.8200073,205.3000031,207.9499969,198.3510132,6413600
8/20/2019,213.5,217.8500061,212.1699982,217.0899963,207.0691223,12452600
8/21/2019,218.7299957,220.8800049,216.7599945,220.3999939,210.2263184,7938600
8/22/2019,220.0500031,222.6600037,219.8800049,221.0200043,210.8177185,4544600
8/23/2019,219.8999939,220.8699951,216.0099945,217.4700012,207.4315796,5769300
8/26/2019,218.4600067,219.5,216.1799927,218.6499939,208.5571136,3680200
8/27/2019,219.5500031,220.4100037,217.9100037,218.2100067,208.1374207,4311700
8/28/2019,217.8800049,222.0899963,217.1100006,221.9499969,211.7047882,3066700
8/29/2019,223.8999939,227.6999969,223.7599945,227.3200073,216.8269196,4184200
8/30/2019,228.4299927,229.2700043,226.6900024,227.9100037,217.389679,3768300
9/3/2019,226.4499969,227.6300049,223.3800049,224.0700073,213.726944,4139400
9/4/2019,223.9499969,224.1499939,220.6699982,224.1499939,215.1088409,3132900
9/5/2019,226.3000031,228.7799988,226.25,228.1499939,218.9474945,3373100
9/6/2019,228.6999969,231.3699951,227.8800049,231.1300049,221.8072968,3237900
9/9/2019,231.5,233.8699951,230.0800018,232.8699951,223.4771271,4449100
9/10/2019,232.25,233.0200043,229.7100067,233,223.6018677,4210600
9/11/2019,232.9299927,233.6799927,231.0200043,232.6600037,223.2756042,2978300
9/12/2019,233.4199982,235.4900055,233.1100006,233.8000031,224.3696136,3366100
9/13/2019,234.3300018,234.9700012,232.3300018,233.9799957,224.5423431,3805500
9/16/2019,232.7299957,233.6100006,230.6100006,230.9900055,221.6729431,3120200
9/17/2019,226.7899933,230.3300018,226.4700012,230.2100067,220.9244232,3732500
9/18/2019,230.3699951,231.5299988,229.0099945,230.8300018,221.5193939,3341800
9/19/2019,231.1499939,231.3999939,227.9499969,228.1199951,218.9187317,3134000
9/20/2019,227.9900055,230.0500031,224.2299957,224.6699982,215.6078796,7687700
9/23/2019,224.1600037,227.1399994,223.9499969,226.25,217.1241455,2754000
9/24/2019,228.1399994,230.2400055,224.7799988,225.4100037,216.3180084,4511300
9/25/2019,226.5899963,228.4499969,224.5,228.1000061,218.8995209,3716700
9/26/2019,229.6799927,231.1199951,229,229.7899933,220.521347,4200600
9/27/2019,231.6100006,231.75,229.1300049,229.8600006,220.5885315,3152000
9/30/2019,230.1900024,232.5899963,230.1199951,232.0200043,222.6613922,3249200
10/1/2019,233.0099945,234.5099945,230.7200012,231.0800018,221.7593079,3335400
10/2/2019,230.6000061,230.6000061,224.3399963,225.5500031,216.4523773,4336100
10/3/2019,225,226.8099976,222.1199951,226.8099976,217.6615601,2777700
10/4/2019,227.1699982,229.2100067,227.0200043,227.9299927,218.7363586,3163100
10/7/2019,227.5099945,228.1300049,226.0500031,226.7400055,217.5944061,2917600
10/8/2019,225.3600006,228.7799988,225.1000061,226.6699982,217.5271912,3438500
10/9/2019,228.5,229.5599976,226.6100006,228.9400024,219.7056427,2657600
10/10/2019,229.3399963,232.2400055,229.0800018,231.6100006,222.2679443,2781500
10/11/2019,234.3200073,236.6999969,233.7599945,234.6600037,225.1949158,3459200
10/14/2019,234.2200012,235.4900055,234.0599976,234.1799927,224.7342834,2183900
10/15/2019,234.6900024,236.8600006,234.6000061,235.6199951,226.1162109,2663300
10/16/2019,235.4199982,236.1699982,233.8399963,235.8999939,226.3848877,2388100
10/17/2019,236.3600006,238.1699982,235.5099945,236.7700043,227.2198029,2250500
10/18/2019,236.9900055,238.7299957,235.6399994,237.9299927,228.3329926,3662500
10/21/2019,238.2599945,238.9900055,235.6100006,236.6999969,227.1526337,2041700
10/22/2019,237.3000031,238.3000031,236.5200043,237.1999969,227.6324615,2003200
10/23/2019,236.6600037,237.4100037,234.3600006,234.6699982,225.2045288,2110500
10/24/2019,234.8099976,236.3699951,233.0700073,233.8899994,224.4559937,2173900
10/25/2019,233.4900055,235.4199982,232.5500031,234.3800049,224.9262238,2210900
10/28/2019,234.9499969,236.9600067,234.5599976,236.8000031,227.2486115,2705000
10/29/2019,236.8399963,237.5,233.9199982,234.1399994,224.6959076,2558000
10/30/2019,233.5099945,236.6000061,232.8800049,236.2400055,226.7111969,1956700
10/31/2019,236.8600006,237.3899994,233.2200012,234.5800018,225.1181335,2824100
11/1/2019,236.0700073,237.4499969,235.0599976,237.3399963,227.7668152,2197400
11/4/2019,238.2700043,238.3899994,233.8800049,234.9199982,225.4444427,2542400
11/5/2019,234.7400055,234.9199982,230.2700043,232.1999969,222.834137,3624600
11/6/2019,232.8300018,234.0399933,231.8899994,234.0099945,224.5711517,2631900
11/7/2019,234,235.7899933,231.7599945,232.9400024,223.5442963,2832500
11/8/2019,232.8000031,233.2599945,231.6300049,232.8399963,223.4483337,2088400
11/11/2019,230.5,232.2799988,230.1799927,231.8000031,222.4502869,2309600
11/12/2019,232.1499939,234.6300049,232,233.1199951,223.7170258,2991100
11/13/2019,232.0899963,234.8999939,230.8500061,234.8000031,225.3292847,2399600
11/14/2019,235,236.9400024,234.0399933,236.5500031,227.0086975,2282200
11/15/2019,237.6900024,238.0500031,236.3600006,237.2899933,227.7188416,3524700
11/18/2019,238.4400024,239.3099976,236.7599945,238.8500061,229.2159271,5747400
11/19/2019,230.6000061,233.1199951,225.3999939,225.8600006,216.7498779,14972200
11/20/2019,224.5500031,225,220.5700073,220.8999939,211.9899139,10225400
11/21/2019,221.9400024,222.3099976,218.5,218.5399933,209.7251282,7823700
11/22/2019,218.5,219.1300049,217.8099976,218.0299988,209.2357025,5786500
11/25/2019,218,218.5299988,216.8800049,218.3999939,209.5907593,8865400
11/26/2019,218.7599945,220.9600067,218.3899994,220.7599945,211.855545,9981400
11/27/2019,221.6799927,223.4499969,220.6600037,223,214.0052185,6687500
11/29/2019,223.3000031,223.3300018,220.2899933,220.5099945,211.6156616,2952900
12/2/2019,220.8999939,221.1900024,217.4600067,217.6199951,208.8422241,4416300
12/3/2019,216.4499969,216.4499969,212.9299927,214,205.3682556,6505400
12/4/2019,213.5,214.9600067,213.1900024,214.1000061,206.7783508,4256200
12/5/2019,214.3600006,214.5,211.7700043,213,205.7159424,4580500
12/6/2019,214.2100067,215.3600006,213.8999939,214.2799988,206.952179,4193700
12/9/2019,214.2899933,217.8800049,214.1799927,216.5299988,209.1252136,5111100
12/10/2019,216.5200043,216.6900024,215.1000061,215.8999939,208.5167694,4663000
12/11/2019,211.0299988,213.6499939,210.6100006,212,204.7501526,8284800
12/12/2019,212.5,214.1300049,210.7299957,212.0399933,204.7887726,9915100
12/13/2019,212.1199951,214.2299957,210.6699982,214.0800018,206.7590179,6869200
12/16/2019,214.4299927,216.7200012,214.3000031,215.5299988,208.1594086,5850300
12/17/2019,216.0200043,219.4499969,215.8699951,217.7200012,210.2745514,7574400
12/18/2019,218.2100067,219.5899963,217.6399994,218,210.5449677,6677400
12/19/2019,218.4799957,220.7700043,218.2799988,220.2200012,212.6890411,5405000
12/20/2019,220.5899963,221.5700073,219.8000031,221.1900024,213.6258545,7778200
12/23/2019,222,222,219.1399994,219.2100067,211.7135925,3943700
12/24/2019,219.5,221.0399933,219.2200012,220.6699982,213.123642,2260700
12/26/2019,220.7400055,221.1499939,219.5899963,220.8200073,213.2685242,2649200
12/27/2019,221.1999969,221.7899933,219.7799988,219.9700012,212.4475861,3082800
12/30/2019,220.3699951,220.4900055,216.5500031,217.3099976,209.87854,3952400
12/31/2019,217.1000061,218.5099945,216.4400024,218.3800049,210.9119873,3789900
1/2/2020,219.0800018,219.7599945,217.8399963,219.6600037,212.1481934,3935700
1/3/2020,217.1399994,219.6799927,216.75,218.9299927,211.443161,3423200
1/6/2020,216.4900055,220,216.3999939,219.9600067,212.4379272,5682800
1/7/2020,219.5,220.5599976,216.8999939,218.5200043,211.0471649,5685400
1/8/2020,218.8000031,222.9700012,218.6699982,221.7899933,214.2053375,4916200
1/9/2020,222.6399994,225.5500031,221.8500061,225.1900024,217.4890747,4843600
1/10/2020,224.75,225.4900055,223.0299988,224.2200012,216.5522308,4226600
1/13/2020,224.5,224.5099945,222.6799927,223.3399963,215.7023468,6060900
1/14/2020,222.4799957,224.9499969,222.3099976,222.8099976,215.1904449,3915100
1/15/2020,222.2799988,224.9799957,222.1300049,224.5899963,216.9095764,3444300
1/16/2020,225.9299927,228.8600006,225.3999939,228.8200073,220.9949493,5390800
1/17/2020,229.6100006,232.6000061,228.9100037,231.9100037,223.979248,7979200
1/21/2020,231.5299988,233.6600037,231.0599976,232.9499969,224.9837036,4873500
1/22/2020,233.7899933,236.5299988,232.8800049,232.8999939,224.9354095,4030800
1/23/2020,232.1300049,234.8200073,230.6399994,233.6499939,225.6597443,4617900
1/24/2020,234.4600067,235.4299927,230.5599976,232,224.0661926,4467500
1/27/2020,228.1999969,232.4700012,228.1999969,231.1900024,223.2838898,3595600
1/28/2020,231.8200073,235.25,231.3500061,233.8600006,225.8625793,3621900
1/29/2020,234.8999939,235.8800049,233.3999939,234.0200043,226.0171051,2564000
1/30/2020,232,233.3000031,231.5700073,232.7899933,224.8291626,4685700
1/31/2020,232.9600067,233.2299957,227.8899994,228.1000061,220.2995758,5304700
2/3/2020,230.3000031,233.5299988,229.3500061,231.5399933,223.621933,5100900
2/4/2020,234.0299988,236.3600006,234.0299988,235,226.9635925,3505100
2/5/2020,237.1000061,238.3200073,235.8600006,238.1100006,229.9672546,3868600
2/6/2020,238,239.4100037,237.4799957,238.8399963,230.672287,3930300
2/7/2020,238.8399963,239.5299988,236.5200043,237.3000031,229.1849365,2456100
2/10/2020,236.6000061,240.6100006,236.1799927,240.6100006,232.3817596,2568000
2/11/2020,240.6100006,242.4499969,240.1999969,241.6399994,233.3765259,2692400
2/12/2020,242.1300049,242.3000031,238.8399963,241.5899963,233.3282166,3592100
2/13/2020,240.9700012,243.6000061,240.3999939,242.3600006,234.0719147,2468100
2/14/2020,243.4400024,245.1999969,242.6300049,245.0299988,236.650589,2841600
2/18/2020,244.8399963,246.1100006,243.1600037,243.9400024,235.5978699,2892600
2/19/2020,244.9100037,245.5,243.0099945,243.6399994,235.3081207,2713300
2/20/2020,243.6900024,247.1199951,242.1499939,247.0200043,238.572525,3701800
2/21/2020,246.5,247.3600006,244,245.3399963,236.9499817,3881100
2/24/2020,238.4799957,243.1100006,237.6999969,239.6999969,231.5028534,5350100
2/25/2020,246.1000061,246.9700012,236.4799957,237.3800049,229.262207,8061500
2/26/2020,239.1000061,241.0399933,234.3200073,235.2799988,227.2340088,6963000
2/27/2020,231.0700073,234.8200073,224.5700073,224.7299957,217.0447998,7612800
2/28/2020,218.6300049,221.0599976,212.3300018,217.8399963,210.3904266,11809600
3/2/2020,219.9799957,230,218.4900055,229.9400024,222.0766296,7150800
3/3/2020,230.0299988,235.8200073,225.5700073,227.9400024,220.1450348,8432500
3/4/2020,233.0099945,241.3200073,231.8000031,241.0800018,232.8356781,6770000
3/5/2020,236.6000061,239.6100006,233.1499939,234.8099976,226.7800751,6473900
3/6/2020,227.5700073,230.2899933,222.25,228.5099945,220.6955261,7399900
3/9/2020,213.8699951,216.1799927,207.25,210.4600067,203.2628021,10120500
3/10/2020,217.2100067,225.8300018,211,225.6999969,217.9815979,7206600
3/11/2020,217.3000031,219.1499939,210.5,212.8899994,206.9853363,7253900
3/12/2020,195.4100037,206.5800018,184.8399963,190.5899963,185.303833,10928700
3/13/2020,200.4499969,205.8200073,190,205.6699982,199.9655609,10292300
3/16/2020,181.9700012,186.1000061,163.1100006,164.9600067,160.3847046,12536600
3/17/2020,168.2100067,174.7799988,155.3000031,173.6399994,168.8239441,16234400
3/18/2020,159.8000031,162.3300018,140.6300049,155.6300049,151.3134918,14681900
3/19/2020,153.1600037,162.9100037,142,161.1300049,156.6609497,13499100
3/20/2020,162.7799988,170.2200012,151.8099976,152.1499939,147.9300079,12602400
3/23/2020,150.0599976,164.9299927,146.3399963,162.3899994,157.8859863,12241600
3/24/2020,173.3899994,185.6699982,172.0099945,184.7200012,179.5966492,14676600
3/25/2020,184.4199982,191.5500031,180,181.7599945,176.7187347,11497400
3/26/2020,183.4900055,198.1999969,182.5,195.2100067,189.7957001,10170300
3/27/2020,188.4900055,196.3800049,186.5,190.5500031,185.2649384,7121700
3/30/2020,190.5700073,198.1999969,187.6100006,196.1000061,190.661026,6936700
3/31/2020,194.8000031,195.4900055,185.4499969,186.7100067,181.5314789,7335400
4/1/2020,175.9100037,182.7599945,175,178.6300049,173.6755524,7858200
4/2/2020,174.9499969,182.7200012,174,181.3099976,176.2812195,6353900
4/3/2020,179.5599976,181.3500061,174.9400024,178.6999969,173.7436066,7299800
4/6/2020,188,192.4100037,185.1300049,191.3300018,186.0233002,7454000
4/7/2020,202.9199982,204.1100006,191.8500061,192.2899933,186.9566803,6438800
4/8/2020,194.2100067,196.7700043,191.5399933,194.8200073,189.4165192,6094700
4/9/2020,199.8000031,205.9900055,196.5,201.5299988,195.9403992,7125100
4/13/2020,200.4499969,200.4499969,195.3699951,198.7899933,193.2763977,4415600
4/14/2020,201.8800049,209.7299957,200.1300049,207.1699982,201.4239655,5655400
4/15/2020,198.6699982,202.2400055,196.6100006,198.4799957,192.9749756,5693900
4/16/2020,199.1199951,202.2100067,196.8200073,199.8500061,194.3069916,7262800
4/17/2020,207.1699982,210.25,206.1600037,209.4199982,203.611557,6717600
4/20/2020,206.1300049,211.0299988,205.3600006,206.0500031,200.335022,4753100
4/21/2020,200.75,204.3399963,199.5099945,200.6100006,195.0459137,4845000
4/22/2020,201.8899994,205.7100067,201.1399994,204.1699982,198.5071716,4067700
4/23/2020,203.3200073,206.9700012,202.1900024,202.3200073,196.7084961,3565500
4/24/2020,204.7299957,212.9299927,203.8500061,212.1799927,206.2949982,5025200
4/27/2020,215.0399933,220.9400024,214.0099945,217.7599945,211.7202454,5472800
4/28/2020,223.9900055,224.2200012,216.9100037,217.6300049,211.5938568,5080700
4/29/2020,221.3399963,224.1699982,219.8200073,221.8099976,215.6579285,4381100
4/30/2020,216.7899933,222.1100006,216.5200043,219.8300018,213.7328491,5152700
5/1/2020,216.7700043,219.6999969,215.7700043,218.5700073,212.507782,3819300
5/4/2020,216.6799927,222.6600037,215.2100067,221.8399963,215.687088,4090900
5/5/2020,224.9400024,228.8500061,223.6100006,225.6100006,219.3525238,4655200
5/6/2020,227.3699951,228.4400024,223.8000031,223.9199982,217.7093964,3321100
5/7/2020,226.5099945,231.6300049,226.4199982,229.4499969,223.0859985,4501300
5/8/2020,232.6999969,235.5500031,231.1499939,234.4299927,227.9278717,4365200
5/11/2020,231.7700043,238.7700043,231.25,236.5599976,229.9988098,4378300
5/12/2020,238.5700073,239.25,232.8999939,232.8999939,226.4403229,4399600
5/13/2020,233.0399933,236.3000031,228.5399933,230.1000061,223.7180023,6237200
5/14/2020,226.3699951,234.6600037,226.1999969,234.4799957,227.9765015,6434500
5/15/2020,232.7899933,243.2299957,232.6999969,239.3300018,232.6920013,16176300
5/18/2020,245.8399963,248.3200073,244.0399933,245.3500061,238.5450287,8314800
5/19/2020,240.4499969,242.4600067,237.8000031,238.1000061,231.4960938,9387000
5/20/2020,242,242.2700043,234.9499969,238.1900024,231.5836182,7534200
5/21/2020,237.6199951,241.1799927,235.7899933,240.8800049,234.1990051,4772700
5/22/2020,240.6999969,242.3399963,238.6600037,241.8800049,235.1712646,3041800
5/26/2020,248.1499939,248.2200012,242.0700073,242.4799957,235.7546234,4535200
5/27/2020,242.6900024,247.3899994,240.7799988,247.3600006,240.4992828,4664800
5/28/2020,249.5200043,252.2299957,244.4299927,245.1399994,238.3408508,5259300
5/29/2020,245.0599976,249.7100067,244.7299957,248.4799957,241.5881958,5341600
6/1/2020,249.4100037,249.7799988,245.8699951,247.2899933,240.4311981,3407800
6/2/2020,248.6300049,252.7200012,247,252.7100067,245.7008972,5301000
6/3/2020,251.8000031,252.8300018,250.3899994,251,245.4954987,4638100
6/4/2020,249.7700043,252.1699982,247.4700012,248.9499969,243.4904327,4759400
6/5/2020,252.3399963,255.8500061,250.3800049,254.8999939,249.309967,5054300
6/8/2020,252.4900055,256.8099976,252.2599945,256.769989,251.1389465,3811900
6/9/2020,255.3300018,258.2900085,253.8600006,256.7600098,251.1291656,3716100
6/10/2020,257.4500122,259.2900085,254.2200012,254.4499969,248.8698273,3589800
6/11/2020,248.8600006,250.6199951,238.7400055,239.4700012,234.218338,6563700
6/12/2020,243.0700073,246.3899994,237.0500031,242.4499969,237.1329956,5238500
6/15/2020,237.6199951,242.2200012,234.3099976,241.3600006,236.0669098,6250900
6/16/2020,249.3999939,251.6499939,242.8699951,249.9499969,244.4685211,5291600
6/17/2020,252.7700043,254.6199951,250.0800018,250.8500061,245.3488007,4234000
6/18/2020,249.3600006,251.75,247.1300049,249.2100067,243.744751,3347800
6/19/2020,253.1000061,254.3000031,246.3800049,246.6499939,241.2408752,11114600
6/22/2020,245.6999969,250.0599976,245.5099945,249.1600037,243.6958466,3815200
6/23/2020,253,253.4400024,250.1300049,250.3099976,244.8206177,3105300
6/24/2020,247.8099976,250.2899933,242.7299957,246.1300049,240.7322998,3873000
6/25/2020,244.8000031,246.3500061,242.1999969,245.3800049,239.998764,2938400
6/26/2020,245.3500061,246.1000061,240.25,241.0099945,235.7245789,5002700
6/29/2020,242.6600037,246.5,240.3399963,246.1199951,240.7225037,3468300
6/30/2020,247,251.6499939,246.0899963,250.5099945,245.0162354,4524600
7/1/2020,249.6499939,250.3300018,246.9299927,248.1499939,242.7079926,3677300
7/2/2020,251.9400024,252.3000031,247.9199982,248.5,243.0503082,3369800
7/6/2020,250.2700043,251.5,247.0399933,249.5500031,244.0772858,3133800
7/7/2020,247.3699951,250.7799988,247.0700073,247.3500061,241.9255371,2927800
7/8/2020,247.8699951,249.7899933,246.2200012,249.1699982,243.7056274,2294000
7/9/2020,249.6600037,250.5099945,246.3500061,247.9600067,242.522171,2994700
7/10/2020,248.2899933,250.3300018,246.6399994,250.1100006,244.6250153,2745300
7/13/2020,251.9199982,257.8599854,249.0899963,249.6199951,244.145752,4437500
7/14/2020,249,258.1799927,248.4600067,257.7900085,252.1365967,4614200
7/15/2020,260.1400146,261.2900085,255.1499939,257.7999878,252.1463623,4343700
