Date,Open,High,Low,Close,Adj Close,Volume
7/1/2019,116.7200012,116.75,114.3499985,115.0299988,115.0299988,5566900
7/2/2019,115.1800003,116.1999969,114.5800018,116.1699982,116.1699982,4153900
7/3/2019,116.8799973,117.7200012,116.0599976,117.6800003,117.6800003,3288900
7/5/2019,116.5400009,117.4000015,114.6900024,117.1600037,117.1600037,3801700
7/8/2019,116.3399963,117.2249985,115.1399994,116.9499969,116.9499969,4983600
7/9/2019,116.3700027,118.6200027,116.25,118.3700027,118.3700027,4739000
7/10/2019,119.1100006,120.1999969,118.7799988,119.6399994,119.6399994,5879700
7/11/2019,120.1699982,120.75,119.2399979,120.6500015,120.6500015,4999700
7/12/2019,120.9199982,121,119.3099976,120.1200027,120.1200027,4540300
7/15/2019,120.7699966,121.0400009,119.8000031,120.9000015,120.9000015,3721000
7/16/2019,121.0999985,121.4800034,119.5299988,119.7099991,119.7099991,4006600
7/17/2019,119.6500015,119.9899979,118.8000031,118.8099976,118.8099976,4627500
7/18/2019,118.9899979,120.8000031,118.6299973,119.8700027,119.8700027,4436900
7/19/2019,120.7399979,121.3600006,118.5999985,118.6299973,118.6299973,4916200
7/22/2019,118.9899979,119.2099991,118.1200027,118.6900024,118.6900024,5676600
7/23/2019,119.4199982,120.2699966,118.6949997,120.2200012,120.2200012,5016000
7/24/2019,120,121.3300018,118.9300003,121.3000031,121.3000031,8969800
7/25/2019,116.75,117.5500031,113.2300034,115.1200027,115.1200027,19417200
7/26/2019,115.7099991,116.3499985,114.3399963,115.4899979,115.4899979,7995500
7/29/2019,113.5,114.2799988,111.2200012,111.4499969,111.4499969,13820200
7/30/2019,110.7900009,112.2900009,108.7699966,112.0400009,112.0400009,8456000
7/31/2019,112.1999969,112.3000031,109.4300003,110.4000015,110.4000015,10096200
8/1/2019,110.4499969,112.4499969,109.6650009,110.8000031,110.8000031,9436100
8/2/2019,109.4700012,109.6500015,105.8300018,107.0899963,107.0899963,10466900
8/5/2019,103.7600021,105.3899994,102.4100037,103.5999985,103.5999985,11745400
8/6/2019,105,106,104.4800034,105.0299988,105.0299988,7740500
8/7/2019,104.0599976,107.1600037,103.3000031,106.6299973,106.6299973,7622000
8/8/2019,107.3499985,108.1399994,106.0800018,106.7900009,106.7900009,7815000
8/9/2019,106.4000015,106.5199966,104.4499969,104.8199997,104.8199997,7777300
8/12/2019,104.0100021,104.3799973,102.2099991,102.7200012,102.7200012,7896800
8/13/2019,103.3899994,106.6999969,102.6800003,106.0400009,106.0400009,9788400
8/14/2019,104.1699982,105.1299973,102.4400024,103.2699966,103.2699966,9538800
8/15/2019,103.9000015,105.7900009,103.1299973,104.9499969,104.9499969,6975800
8/16/2019,106.0800018,106.6100006,105.5500031,106.1600037,106.1600037,5840900
8/19/2019,108,108.4400024,106.8300018,107.6699982,107.6699982,5718300
8/20/2019,107.9100037,108.5800018,107.0199966,107.3700027,107.3700027,4358600
8/21/2019,108.5400009,110.0199966,108.3980026,109.8199997,109.8199997,5415900
8/22/2019,110.0800018,110.2900009,107.6500015,108.7699966,108.7699966,3863600
8/23/2019,108.9300003,110.1399994,105.5100021,106.0400009,106.0400009,7456400
8/26/2019,107.1100006,107.8300018,106.2900009,107.6600037,107.6600037,3666900
8/27/2019,108.3899994,108.7200012,106.9499969,107.4499969,107.4499969,4937400
8/28/2019,106.7099991,107.6299973,105.3499985,107.4700012,107.4700012,3256100
8/29/2019,108.9599991,109.7600021,108.7799988,109.2099991,109.2099991,3930900
8/30/2019,110.1299973,110.9700012,108.5400009,109.0500031,109.0500031,3957900
9/3/2019,107.9199982,108.8600006,106.4599991,106.75,106.75,4037700
9/4/2019,107.75,109.2350006,107.2900009,108.7300034,108.7300034,3691200
9/5/2019,110,111.6299973,109.5100021,111.4599991,111.4599991,5348700
9/6/2019,111.6600037,111.6699982,109.6200027,110.0500031,110.0500031,4675800
9/9/2019,110.6200027,110.7699966,103.9000015,105.4300003,105.4300003,10959000
9/10/2019,104.7699966,104.9499969,101.3099976,103.0500031,103.0500031,13428000
9/11/2019,104.1500015,104.4800034,103.1100006,104.0199966,104.0199966,7006300
9/12/2019,105.7099991,107.9150009,105.4899979,107.0999985,107.0999985,11585400
9/13/2019,106.6600037,107.2900009,105.25,107,107,8390200
9/16/2019,106.1299973,108.0100021,105.9899979,106.5199966,106.5199966,5215600
9/17/2019,106.8099976,107.8949966,106.4599991,107.5,107.5,4097400
9/18/2019,107.7799988,107.8000031,103.7300034,105.5999985,105.5999985,6624300
9/19/2019,105.6399994,107.0199966,105.5999985,106.1200027,106.1200027,5017100
9/20/2019,104.7099991,105.4599991,103.9100037,104.6399994,104.6399994,10427300
9/23/2019,104.7300034,105.3199997,104.3499985,105.1100006,105.1100006,3312800
9/24/2019,105.4100037,106.0999985,102.7300034,103.6900024,103.6900024,6367900
9/25/2019,103.3399963,104.4629974,101.5400009,104.1399994,104.1399994,5457300
9/26/2019,104.4300003,104.8700027,103.2200012,104.5500031,104.5500031,4719800
9/27/2019,104.8700027,105.1699982,101.0999985,102.1999969,102.1999969,7189400
9/30/2019,102.6800003,104.0699997,101.4800034,103.5899963,103.5899963,7390700
10/1/2019,104,104.6409988,102.2300034,102.5299988,102.5299988,5694500
10/2/2019,101.8099976,101.8300018,99.36000061,99.73000336,99.73000336,7879000
10/3/2019,99.54000092,101.3099976,98.61000061,101.0299988,101.0299988,4846100
10/4/2019,101.8399963,102.9800034,100.8399963,102.7900009,102.7900009,5458000
10/7/2019,102.1100006,102.6070023,101.5199966,101.6200027,101.6200027,3711300
10/8/2019,100.8499985,101.1500015,99.25,99.33000183,99.33000183,7027600
10/9/2019,99.44000244,100.6900024,99.38500214,99.88999939,99.88999939,4988600
10/10/2019,99.40000153,101,99.40000153,100.5400009,100.5400009,4281600
10/11/2019,101.7799988,103.9599991,101.4700012,101.5800018,101.5800018,4762900
10/14/2019,101.5899963,102.3499985,101.3669968,101.75,101.75,2953500
10/15/2019,102.0100021,103.6600037,101.9000015,103.5899963,103.5899963,4579600
10/16/2019,103,103.2300034,101.9000015,103.0899963,103.0899963,4327000
10/17/2019,103.8899994,104.3399963,102.8399963,103.6299973,103.6299973,3996300
10/18/2019,103.9199982,104.3199997,100.75,101.2200012,101.2200012,7260700
10/21/2019,102.3600006,102.7300034,100.4649963,101.4400024,101.4400024,6694400
10/22/2019,101.3600006,101.9499969,97.11499786,97.36000061,97.36000061,11298100
10/23/2019,97.41999817,97.59999847,94.76999664,96.63999939,96.63999939,16470200
10/24/2019,106.0749969,106.9800034,103.1900024,104.9100037,104.9100037,23689200
10/25/2019,104.4599991,107.4899979,104.4199982,107.1900024,107.1900024,12070900
10/28/2019,107.9899979,108.4599991,106.4499969,106.5999985,106.5999985,7004200
10/29/2019,106.8399963,107.0199966,104.6949997,105,105,5420900
10/30/2019,105.2900009,106.5999985,103.9599991,106.5,106.5,4204900
10/31/2019,106.4700012,106.5,103.2600021,104.0999985,104.0999985,7200500
11/1/2019,104.6999969,105.3000031,103.9300003,104.9800034,104.9800034,5489800
11/4/2019,105.7200012,105.7600021,102.6050034,102.8099976,102.8099976,5818400
11/5/2019,103.0500031,103.25,100.2850037,100.9899979,100.9899979,9236200
11/6/2019,101.1999969,101.3399963,100.1699982,100.6299973,100.6299973,7332200
11/7/2019,100.9400024,101.7200012,100.2900009,100.4700012,100.4700012,9088400
11/8/2019,100.0250015,101.7099991,99.59999847,101.4199982,101.4199982,5451300
11/11/2019,101.0400009,103.0400009,100.6600037,102.6699982,102.6699982,5391000
11/12/2019,102.9700012,103.0899963,100.9199982,102.0299988,102.0299988,6715200
11/13/2019,102,103.5999985,101.6299973,102.1200027,102.1200027,5246600
11/14/2019,101.8700027,103.8499985,101.3700027,103.7300034,103.7300034,4978400
11/15/2019,104.3499985,104.4800034,103.1050034,104.1999969,104.1999969,5639600
11/18/2019,103.8499985,104.1999969,102.9800034,103.6600037,103.6600037,4830400
11/19/2019,104.0800018,106.1699982,104.0080032,104.9499969,104.9499969,7954100
11/20/2019,105.2200012,105.3799973,103.1200027,104.0899963,104.0899963,5953500
11/21/2019,103,104.4700012,102.1500015,102.5500031,102.5500031,7525100
11/22/2019,102.9199982,103.2300034,100.7200012,101.7699966,101.7699966,6448800
11/25/2019,102.3799973,104.5699997,102.0599976,104.4499969,104.4499969,8336100
11/26/2019,104.8000031,106.7799988,104.5,106.1999969,106.1999969,13126400
11/27/2019,106.8899994,108.2399979,106.8000031,107.75,107.75,7553400
11/29/2019,107.9700012,108.3899994,106.9000015,108.0100021,108.0100021,4439500
12/2/2019,107.9599991,108.4899979,104.6500015,106.2099991,106.2099991,7182600
12/3/2019,105,106.1299973,104.5100021,105.5899963,105.5899963,8947500
12/4/2019,106.2900009,106.2900009,104.6549988,105,105,7848700
12/5/2019,105.4499969,105.5,104.1100006,104.5899963,104.5899963,5635800
12/6/2019,104.7900009,105.3440018,104.1600037,104.3399963,104.3399963,7018000
12/9/2019,104.5999985,105.0999985,103.5999985,103.7799988,103.7799988,5641300
12/10/2019,103.7699966,104.1299973,103.2600021,103.6200027,103.6200027,5316500
12/11/2019,103.7200012,105.8700027,103.5899963,105.5100021,105.5100021,5779700
12/12/2019,105.2099991,106.2200012,104.1299973,105.6699982,105.6699982,6379500
12/13/2019,105.8300018,107.9049988,105.5199966,107.6500015,107.6500015,6998800
12/16/2019,108.4000015,109.8280029,108.3499985,109.5699997,109.5699997,8465400
12/17/2019,109.5699997,109.5999985,107.6699982,108.4599991,108.4599991,8165900
12/18/2019,108.8600006,109.4700012,107.7600021,107.8300018,107.8300018,6477900
12/19/2019,107.8000031,108.9400024,107.4599991,108.8799973,108.8799973,6590000
12/20/2019,109.2799988,109.6200027,108.1299973,108.75,108.75,9823200
12/23/2019,109.0500031,109.4499969,108.3799973,108.6100006,108.6100006,4659000
12/24/2019,108.6399994,109.2600021,108.3799973,108.6900024,108.6900024,1680000
12/26/2019,109.1299973,109.75,108.5699997,109.75,109.75,4049900
12/27/2019,110.1669998,110.1800003,108.9000015,109.4000015,109.4000015,3379600
12/30/2019,109.5199966,109.5999985,107.7300034,107.9700012,107.9700012,3769200
12/31/2019,107.5400009,108.4499969,107.1999969,108.1699982,108.1699982,4080500
1/2/2020,109.4700012,111.2099991,109.2750015,110.75,110.75,7418800
1/3/2020,109.4899979,110.4199982,108.7600021,108.7600021,108.7600021,7098300
1/6/2020,107.5699997,110.2200012,107.4400024,110.1699982,110.1699982,6764500
1/7/2020,111.5,111.5599976,109.5299988,109.6699982,109.6699982,6898700
1/8/2020,110.4000015,112.6399994,109.8199997,111.8199997,111.8199997,8293600
1/9/2020,112.9899979,113.5599976,111.5899963,112.5699997,112.5699997,5944700
1/10/2020,113.6399994,113.7099991,112.2699966,112.9300003,112.9300003,6965100
1/13/2020,113.9800034,115.8799973,113.8600006,115.2799988,115.2799988,9652500
1/14/2020,115.5149994,115.5899963,114.1200027,114.6399994,114.6399994,7182000
1/15/2020,115.1399994,115.9499969,114.6100006,114.8499985,114.8499985,5955200
1/16/2020,115.9199982,116,114.8499985,115.4000015,115.4000015,4770900
1/17/2020,116.4499969,116.6999969,115.4700012,116.0400009,116.0400009,9730400
1/21/2020,115.3099976,116.3899994,115.1100006,116.1500015,116.1500015,8746200
1/22/2020,116.7300034,117.4499969,115.4700012,115.5,115.5,5305300
1/23/2020,117.4000015,117.9400024,115.8000031,117.8899994,117.8899994,8533900
1/24/2020,118.4499969,119.5999985,116.5100021,116.9800034,116.9800034,7124000
1/27/2020,113.6299973,115.9800034,112.3099976,115.2399979,115.2399979,7002300
1/28/2020,115.8300018,117.2099991,114.7149963,116.5199966,116.5199966,6433000
1/29/2020,117.4700012,117.5299988,115.1600037,116.6600037,116.6600037,9236800
1/30/2020,112.7900009,117.1999969,112.4199982,117.1200027,117.1200027,13653300
1/31/2020,116.75,117.3199997,113.1500015,113.8899994,113.8899994,9467200
2/3/2020,114.3000031,117.2399979,114.0500031,116.5100021,116.5100021,8234700
2/4/2020,118.0400009,120.3399963,117.3000031,120.0800018,120.0800018,7396800
2/5/2020,121.1999969,122.1900024,118.8909988,119.7200012,119.7200012,7595300
2/6/2020,120.0899963,120.5999985,119.4700012,119.8899994,119.8899994,4020300
2/7/2020,119.5999985,119.6699982,118.4100037,118.8799973,118.8799973,4166300
2/10/2020,118.5599976,120.1500015,118.5,120.0599976,120.0599976,4868000
2/11/2020,120.7600021,121,118.4000015,118.8399963,118.8399963,4677400
